Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Gene Symbol,GenBank Accession,Chromosome,Start Coord,End Coord,Strand,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Locus Type,Is Pseudogene,Is Partial Gene,Add Date,Is Public,Sequencing Status,Transmembrane Helices,Signal Peptides,Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,Pfam,Tigrfam,SMART,SUPERFam,CATH FunFam,Enzyme,KO,IMG Term,MyIMG (self),MyIMG (group),MyIMG (public)
3300049256 assembled Ga0508132_11973_2_646,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,2,646,-,645,215,CDS,,,,No,Draft,,,Ga0508132_11973,,Ga0508132_11973,741,0.7,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_001146_3_299,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,3,299,-,297,99,CDS,,,,No,Draft,,,Ga0508133_001146,,Ga0508133_001146,308,0.63,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_077555_1_432,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,1,432,#ERROR!,432,143,CDS,,,,No,Draft,,,Ga0508133_077555,,Ga0508133_077555,835,0.65,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_022422_46_615,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,46,615,#ERROR!,570,190,CDS,,,,No,Draft,,,Ga0508133_022422,,Ga0508133_022422,616,0.71,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_31097_271_453,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,271,453,#ERROR!,183,61,CDS,,,,No,Draft,,,Ga0508132_31097,,Ga0508132_31097,455,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,,,,81508===Ubiquinone-binding protein QP-C of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_055471_3_374,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,3,374,-,372,124,CDS,,,,No,Draft,,,Ga0508133_055471,,Ga0508133_055471,394,0.69,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_038554_5265_6572,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,5265,6572,-,1308,435,CDS,,,,No,Draft,,,Ga0508133_038554,,Ga0508133_038554,34779,0.64,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_65216_2_337,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,2,337,-,336,112,CDS,,,,No,Draft,,,Ga0508132_65216,,Ga0508132_65216,340,0.7,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_00027_68379_68543,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,68379,68543,#ERROR!,165,54,CDS,,,,No,Draft,,,Ga0508132_00027,,Ga0508132_00027,89201,0.65,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,55874===ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase,,,,,
3300049256 assembled Ga0508132_18832_1_582,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,1,582,#ERROR!,582,194,CDS,,,,No,Draft,,,Ga0508132_18832,,Ga0508132_18832,584,0.68,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_096275_25_279,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,25,279,#ERROR!,255,85,CDS,,,,No,Draft,,,Ga0508133_096275,,Ga0508133_096275,281,0.64,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,,,,48452===TPR-like,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_00638_1306_2352,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,1306,2352,-,1047,348,CDS,,,,No,Draft,,,Ga0508132_00638,,Ga0508132_00638,11003,0.65,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_061214_220_498,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,220,498,#ERROR!,279,93,CDS,,,,No,Draft,,,Ga0508133_061214,,Ga0508133_061214,500,0.6,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_089858_1_279,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,1,279,#ERROR!,279,93,CDS,,,,No,Draft,,,Ga0508133_089858,,Ga0508133_089858,280,0.7,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_096294_3_368,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,3,368,#ERROR!,366,121,CDS,,,,No,Draft,,,Ga0508133_096294,,Ga0508133_096294,898,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_04434_4_807,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,4,807,#ERROR!,804,267,CDS,,,,No,Draft,,,Ga0508132_04434,,Ga0508132_04434,1462,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_100080_47611_47775,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,47611,47775,-,165,54,CDS,,,,No,Draft,,,Ga0508133_100080,,Ga0508133_100080,111821,0.65,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,55874===ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase,,,,,
3300049257 assembled Ga0508133_051516_62406_63734,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,62406,63734,#ERROR!,1329,442,CDS,,,,No,Draft,,,Ga0508133_051516,,Ga0508133_051516,66543,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_081971_1_213,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,1,213,-,213,71,CDS,,,,No,Draft,,,Ga0508133_081971,,Ga0508133_081971,226,0.71,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_020136_943_2271,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,943,2271,-,1329,442,CDS,,,,No,Draft,,,Ga0508133_020136,,Ga0508133_020136,3735,0.63,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_06102_11_1141,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,11,1141,#ERROR!,1131,377,CDS,,,,No,Draft,,,Ga0508132_06102,,Ga0508132_06102,1141,0.62,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_005345_86_886,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,86,886,-,801,266,CDS,,,,No,Draft,,,Ga0508133_005345,,Ga0508133_005345,886,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_56069_3_362,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,3,362,#ERROR!,360,120,CDS,,,,No,Draft,,,Ga0508132_56069,,Ga0508132_56069,364,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_45498_3_374,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,3,374,-,372,124,CDS,,,,No,Draft,,,Ga0508132_45498,,Ga0508132_45498,394,0.69,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_006068_374_700,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,374,700,-,327,108,CDS,,,,No,Draft,,,Ga0508133_006068,,Ga0508133_006068,701,0.59,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_006158_2_280,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,2,280,#ERROR!,279,93,CDS,,,,No,Draft,,,Ga0508133_006158,,Ga0508133_006158,282,0.62,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_102771_1_519,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,1,519,-,519,173,CDS,,,,No,Draft,,,Ga0508133_102771,,Ga0508133_102771,519,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_039393_13_384,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,13,384,#ERROR!,372,124,CDS,,,,No,Draft,,,Ga0508133_039393,,Ga0508133_039393,386,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_096400_1_393,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,1,393,-,393,131,CDS,,,,No,Draft,,,Ga0508133_096400,,Ga0508133_096400,451,0.64,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_007153_2_280,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,2,280,#ERROR!,279,93,CDS,,,,No,Draft,,,Ga0508133_007153,,Ga0508133_007153,282,0.62,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_00453_3796_5124,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,3796,5124,#ERROR!,1329,442,CDS,,,,No,Draft,,,Ga0508132_00453,,Ga0508132_00453,14383,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_057157_8652_9698,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,8652,9698,#ERROR!,1047,348,CDS,,,,No,Draft,,,Ga0508133_057157,,Ga0508133_057157,9970,0.65,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_033908_1_621,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,1,621,-,621,207,CDS,,,,No,Draft,,,Ga0508133_033908,,Ga0508133_033908,636,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_066485_1_240,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,1,240,-,240,80,CDS,,,,No,Draft,,,Ga0508133_066485,,Ga0508133_066485,246,0.7,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_053382_1_222,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,1,222,-,222,74,CDS,,,,No,Draft,,,Ga0508133_053382,,Ga0508133_053382,223,0.69,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_007166_2_271,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,2,271,#ERROR!,270,90,CDS,,,,No,Draft,,,Ga0508133_007166,,Ga0508133_007166,271,0.62,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_041064_188_280,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,188,280,#ERROR!,93,31,CDS,,,,No,Draft,,,Ga0508133_041064,,Ga0508133_041064,282,0.59,1,,,,,,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_059370_1_216,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,1,216,#ERROR!,216,71,CDS,,,,No,Draft,,,Ga0508133_059370,,Ga0508133_059370,400,0.58,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_045082_2_352,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,2,352,#ERROR!,351,117,CDS,,,,No,Draft,,,Ga0508133_045082,,Ga0508133_045082,354,0.67,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_018164_1595_2368,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,1595,2368,-,774,257,CDS,,,,No,Draft,,,Ga0508133_018164,,Ga0508133_018164,2369,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_27277_1_117,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,1,117,#ERROR!,117,38,CDS,,,,No,Draft,,,Ga0508132_27277,,Ga0508132_27277,483,0.6,1,,,,,,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_27805_1_477,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",4,,,,1,477,-,477,159,CDS,,,,No,Draft,,,Ga0508132_27805,,Ga0508132_27805,478,0.71,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_096476_59_367,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",4,,,,59,367,#ERROR!,309,103,CDS,,,,No,Draft,,,Ga0508133_096476,,Ga0508133_096476,369,0.64,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
