Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Gene Symbol,GenBank Accession,Chromosome,Start Coord,End Coord,Strand,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Locus Type,Is Pseudogene,Is Partial Gene,Add Date,Is Public,Sequencing Status,Transmembrane Helices,Signal Peptides,Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,Pfam,Tigrfam,SMART,SUPERFam,CATH FunFam,Enzyme,KO,IMG Term,MyIMG (self),MyIMG (group),MyIMG (public)
3300049256 assembled Ga0508132_65216_2_337,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,2,337,-,336,112,CDS,,,,No,Draft,,,Ga0508132_65216,,Ga0508132_65216,340,0.7,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_007153_2_280,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,2,280,#ERROR!,279,93,CDS,,,,No,Draft,,,Ga0508133_007153,,Ga0508133_007153,282,0.62,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_00453_3796_5124,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,3796,5124,#ERROR!,1329,442,CDS,,,,No,Draft,,,Ga0508132_00453,,Ga0508132_00453,14383,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_022422_46_615,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,46,615,#ERROR!,570,190,CDS,,,,No,Draft,,,Ga0508133_022422,,Ga0508133_022422,616,0.71,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_096476_59_367,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,59,367,#ERROR!,309,103,CDS,,,,No,Draft,,,Ga0508133_096476,,Ga0508133_096476,369,0.64,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_051516_62406_63734,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,62406,63734,#ERROR!,1329,442,CDS,,,,No,Draft,,,Ga0508133_051516,,Ga0508133_051516,66543,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_00105_5265_6572,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,5265,6572,-,1308,435,CDS,,,,No,Draft,,,Ga0508132_00105,,Ga0508132_00105,38781,0.64,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_006068_374_700,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,374,700,-,327,108,CDS,,,,No,Draft,,,Ga0508133_006068,,Ga0508133_006068,701,0.59,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_045082_2_352,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,2,352,#ERROR!,351,117,CDS,,,,No,Draft,,,Ga0508133_045082,,Ga0508133_045082,354,0.67,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_096275_25_279,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,25,279,#ERROR!,255,85,CDS,,,,No,Draft,,,Ga0508133_096275,,Ga0508133_096275,281,0.64,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,,,,48452===TPR-like,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_096294_3_368,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,3,368,#ERROR!,366,121,CDS,,,,No,Draft,,,Ga0508133_096294,,Ga0508133_096294,898,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_21947_427_540,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,427,540,-,114,37,CDS,,,,No,Draft,,,Ga0508132_21947,,Ga0508132_21947,540,0.63,1,,,,,,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_04434_4_807,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,4,807,#ERROR!,804,267,CDS,,,,No,Draft,,,Ga0508132_04434,,Ga0508132_04434,1462,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_057157_8652_9698,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,8652,9698,#ERROR!,1047,348,CDS,,,,No,Draft,,,Ga0508133_057157,,Ga0508133_057157,9970,0.65,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_00027_68379_68543,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,68379,68543,#ERROR!,165,54,CDS,,,,No,Draft,,,Ga0508132_00027,,Ga0508132_00027,89201,0.65,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,55874===ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase,,,,,
3300049257 assembled Ga0508133_062521_1_252,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,1,252,-,252,84,CDS,,,,No,Draft,,,Ga0508133_062521,,Ga0508133_062521,314,0.63,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_066270_576_1340,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,576,1340,-,765,254,CDS,,,,No,Draft,,,Ga0508133_066270,,Ga0508133_066270,1341,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_001146_3_299,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,3,299,-,297,99,CDS,,,,No,Draft,,,Ga0508133_001146,,Ga0508133_001146,308,0.63,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_038554_5265_6572,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,5265,6572,-,1308,435,CDS,,,,No,Draft,,,Ga0508133_038554,,Ga0508133_038554,34779,0.64,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_018164_1595_2368,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,1595,2368,-,774,257,CDS,,,,No,Draft,,,Ga0508133_018164,,Ga0508133_018164,2369,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_102771_1_519,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,1,519,-,519,173,CDS,,,,No,Draft,,,Ga0508133_102771,,Ga0508133_102771,519,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_077555_1_432,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,1,432,#ERROR!,432,143,CDS,,,,No,Draft,,,Ga0508133_077555,,Ga0508133_077555,835,0.65,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_007166_2_271,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,2,271,#ERROR!,270,90,CDS,,,,No,Draft,,,Ga0508133_007166,,Ga0508133_007166,271,0.62,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_039393_13_384,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,13,384,#ERROR!,372,124,CDS,,,,No,Draft,,,Ga0508133_039393,,Ga0508133_039393,386,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_11973_2_646,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,2,646,-,645,215,CDS,,,,No,Draft,,,Ga0508132_11973,,Ga0508132_11973,741,0.7,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_089858_1_279,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,1,279,#ERROR!,279,93,CDS,,,,No,Draft,,,Ga0508133_089858,,Ga0508133_089858,280,0.7,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_006158_2_280,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,2,280,#ERROR!,279,93,CDS,,,,No,Draft,,,Ga0508133_006158,,Ga0508133_006158,282,0.62,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_100080_47611_47775,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,47611,47775,-,165,54,CDS,,,,No,Draft,,,Ga0508133_100080,,Ga0508133_100080,111821,0.65,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,55874===ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase,,,,,
3300049257 assembled Ga0508133_012051_1_216,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,1,216,-,216,72,CDS,,,,No,Draft,,,Ga0508133_012051,,Ga0508133_012051,225,0.68,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_066485_1_240,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,1,240,-,240,80,CDS,,,,No,Draft,,,Ga0508133_066485,,Ga0508133_066485,246,0.7,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_56069_3_362,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,3,362,#ERROR!,360,120,CDS,,,,No,Draft,,,Ga0508132_56069,,Ga0508132_56069,364,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_00294_17145_18473,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,17145,18473,#ERROR!,1329,442,CDS,,,,No,Draft,,,Ga0508132_00294,,Ga0508132_00294,19562,0.66,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_36375_3_428,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,3,428,#ERROR!,426,142,CDS,,,,No,Draft,,,Ga0508132_36375,,Ga0508132_36375,428,0.67,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_041064_188_280,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,188,280,#ERROR!,93,31,CDS,,,,No,Draft,,,Ga0508133_041064,,Ga0508133_041064,282,0.59,1,,,,,,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_005345_86_886,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,86,886,-,801,266,CDS,,,,No,Draft,,,Ga0508133_005345,,Ga0508133_005345,886,0.66,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_038960_11_1063,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,11,1063,#ERROR!,1053,351,CDS,,,,No,Draft,,,Ga0508133_038960,,Ga0508133_038960,1063,0.62,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_084544_20_154,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,20,154,#ERROR!,135,44,CDS,,,,No,Draft,,,Ga0508133_084544,,Ga0508133_084544,271,0.58,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,,,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_27277_1_117,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,1,117,#ERROR!,117,38,CDS,,,,No,Draft,,,Ga0508132_27277,,Ga0508132_27277,483,0.6,1,,,,,,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_46801_2_343,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,2,343,-,342,114,CDS,,,,No,Draft,,,Ga0508132_46801,,Ga0508132_46801,390,0.58,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049257 assembled Ga0508133_081971_1_213,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,1,213,-,213,71,CDS,,,,No,Draft,,,Ga0508133_081971,,Ga0508133_081971,226,0.71,1,COG3509===Poly(3-hydroxybutyrate) depolymerase,,,,,,53474===alpha/beta-Hydrolases,,,,,
3300049256 assembled Ga0508132_06102_11_1141,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,11,1141,#ERROR!,1131,377,CDS,,,,No,Draft,,,Ga0508132_06102,,Ga0508132_06102,1141,0.62,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049256 assembled Ga0508132_45498_3_374,null,poly(3-hydroxybutyrate) depolymerase,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",5,,,,3,374,-,372,124,CDS,,,,No,Draft,,,Ga0508132_45498,,Ga0508132_45498,394,0.69,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
3300049257 assembled Ga0508133_059370_1_216,null,poly(3-hydroxybutyrate) depolymerase,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",5,,,,1,216,#ERROR!,216,71,CDS,,,,No,Draft,,,Ga0508133_059370,,Ga0508133_059370,400,0.58,1,COG4553===Poly-beta-hydroxyalkanoate depolymerase,,,"TIGR01849===polyhydroxyalkanoate depolymerase, intracellular",,,53474===alpha/beta-Hydrolases,,,EC:3.1.1.75===Poly(3-hydroxybutyrate) depolymerase.,,
