Scaffold ID,Scaffold Original ID,Scaffold Name,IMG Genome ID (IMG Taxon ID),Genome Name / Sample Name,Scaffold Topology,NCBI Molecular Type,Scaffold Gene Count,Scaffold Nucleotide Length (bp),Scaffold GC Content,Scaffold Read Depth,Lineage,Lineage Percentage,In MetaBAT Bins,In EukCC Bins
3300049256 assembled Ga0508132_25273,NODE_25273_length_503_cov_1.291080,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,503,0.66,1,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas citronellolis,100,,
3300049256 assembled Ga0508132_28632,NODE_28632_length_472_cov_0.977215,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,472,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Shinella; Shinella sp. GWS1,100,,
3300049256 assembled Ga0508132_28804,NODE_28804_length_470_cov_2.605598,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,470,0.6,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Roseiarcaceae; Roseiarcus; Roseiarcus fermentans,100,,
3300049256 assembled Ga0508132_32108,NODE_32108_length_449_cov_0.865591,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,449,0.64,1,,,,
3300049256 assembled Ga0508132_33512,NODE_33512_length_441_cov_1.821429,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,441,0.63,1,,,,
3300049256 assembled Ga0508132_34169,NODE_34169_length_438_cov_1.016620,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,438,0.65,1,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas sp. ATCC 13867,100,,
3300049256 assembled Ga0508132_35875,NODE_35875_length_430_cov_0.980170,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,430,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium sp. AG855,100,,
3300049256 assembled Ga0508132_36508,NODE_36508_length_427_cov_1.717143,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,427,0.7,1,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas sp. PI1,100,,
3300049256 assembled Ga0508132_36694,NODE_36694_length_426_cov_2.656160,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,426,0.63,1,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Lysobacter; Lysobacter antibioticus,100,,
3300049256 assembled Ga0508132_36938,NODE_36938_length_426_cov_0.750716,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,426,0.62,1,,,,
3300049256 assembled Ga0508132_38686,NODE_38686_length_418_cov_1.193548,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,418,0.69,1,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Thermomonas; Thermomonas haemolytica,100,,
3300049256 assembled Ga0508132_41924,NODE_41924_length_406_cov_1.261398,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,406,0.63,1,Bacteria; Proteobacteria; Gammaproteobacteria; Nevskiales; Sinobacteraceae; Solimonas; Solimonas variicoloris,100,,
3300049256 assembled Ga0508132_44292,NODE_44292_length_399_cov_0.891304,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,399,0.6,1,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Pseudoxanthomonas; Pseudoxanthomonas sp. 3HH-4,100,,
3300049256 assembled Ga0508132_48347,NODE_48347_length_386_cov_0.990291,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,386,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas sp. B29,100,,
3300049256 assembled Ga0508132_51882,NODE_51882_length_375_cov_1.563758,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,375,0.74,1,Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Rudanella; Rudanella lutea,100,,
3300049256 assembled Ga0508132_54199,NODE_54199_length_369_cov_1.160959,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,2,369,0.72,1,,,,
3300049256 assembled Ga0508132_54375,NODE_54375_length_368_cov_154.099656,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,368,0.7,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049256 assembled Ga0508132_54377,NODE_54377_length_368_cov_108.752577,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,368,0.69,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049256 assembled Ga0508132_54408,NODE_54408_length_368_cov_1.766323,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,368,0.7,1,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas citronellolis,100,,
3300049256 assembled Ga0508132_60226,NODE_60226_length_353_cov_1.231884,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,353,0.67,1,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Lysobacter; Lysobacter gummosus,100,,
3300049256 assembled Ga0508132_62936,NODE_62936_length_346_cov_1.460967,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,346,0.72,1,Bacteria; Proteobacteria; Gammaproteobacteria; Nevskiales; Sinobacteraceae; Solimonas; Solimonas flava,100,,
3300049256 assembled Ga0508132_65729,NODE_65729_length_339_cov_1.309160,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,339,0.68,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium selenitireducens,100,,
3300049256 assembled Ga0508132_65750,NODE_65750_length_339_cov_1.293893,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,339,0.62,1,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Ramlibacter; Ramlibacter tataouinensis,100,,
3300049256 assembled Ga0508132_68800,NODE_68800_length_332_cov_0.788235,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,332,0.63,1,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas sp. AAC,100,,
3300049256 assembled Ga0508132_69654,NODE_69654_length_329_cov_1.567460,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,329,0.72,1,,,,
3300049256 assembled Ga0508132_70791,NODE_70791_length_248_cov_280.906433,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",,,1,248,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_003361,k141_109467,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1121,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_004545,k141_41356,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,961,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_005175,k141_130104,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,229,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_006654,k141_96057,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,313,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_007033,k141_123334,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,283,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_007449,k141_130251,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,485,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_009030,k141_68840,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,470,0.6,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Roseiarcaceae; Roseiarcus; Roseiarcus fermentans,100,,
3300049257 assembled Ga0508133_010619,k141_96276,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,291,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_011300,k141_103051,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,242,0.68,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_011510,k141_14249,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,80,84993,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,70,,
3300049257 assembled Ga0508133_012464,k141_75602,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,36,39038,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium,92,,
3300049257 assembled Ga0508133_014605,k141_35081,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,1502,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_016228,k141_42113,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,209,0.58,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_016766,k141_83096,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,258,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_017083,k141_7547,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,996,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_017847,k141_124205,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,865,0.67,1,Bacteria,100,,
3300049257 assembled Ga0508133_020379,k141_62948,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,2,2188,0.67,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_020762,k141_49060,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,3,1490,0.74,1,Bacteria; Acidobacteria; Holophagae; Holophagales; Holophagaceae; Geothrix; Geothrix fermentans,100,,
3300049257 assembled Ga0508133_025413,k141_103868,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,73,65001,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium,81,,
3300049257 assembled Ga0508133_027509,k141_76621,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,217,0.7,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_027599,k141_110842,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,11,7837,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium; Rhizomicrobium sp. SG733,55,,
3300049257 assembled Ga0508133_027799,k141_90501,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,421,0.69,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_027867,k141_90509,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,206,0.71,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_030511,k141_29339,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,338,0.65,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_032022,k141_118251,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,634,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_032222,k141_1954,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,978,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_036416,k141_118608,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,18,15930,0.6,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium,83,,
3300049257 assembled Ga0508133_038098,k141_29799,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,7,5143,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_039426,k141_84931,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,356,0.62,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_042460,k141_50693,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,377,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_042477,k141_50694,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,684,0.63,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_044310,k141_2722,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,427,0.7,1,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas sp. PI1,100,,
3300049257 assembled Ga0508133_044364,k141_2728,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,486,0.64,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
3300049257 assembled Ga0508133_047850,k141_132782,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",,,1,464,0.66,1,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris,100,,
