Gene ID,Scaffold ID,Scaffold Gene Count,Lineage
Ga0508132_00218_4555_6009,Ga0508132_00218,23,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium
Ga0508132_00218_6036_7166,Ga0508132_00218,23,Bacteria; Proteobacteria; Alphaproteobacteria; Micropepsales; Micropepsaceae; Rhizomicrobium
Ga0508132_00345_12633_13073,Ga0508132_00345,20,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00345_2420_3802,Ga0508132_00345,20,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00345_3810_5486,Ga0508132_00345,20,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00345_5619_7112,Ga0508132_00345,20,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00345_7290_8747,Ga0508132_00345,20,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00345_8845_9723,Ga0508132_00345,20,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00312_3384_4919,Ga0508132_00312,19,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00312_4919_6310,Ga0508132_00312,19,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00397_1172_2551,Ga0508132_00397,18,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00397_14046_14921,Ga0508132_00397,18,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00397_2564_4069,Ga0508132_00397,18,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00575_5111_5506,Ga0508132_00575,16,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00441_4293_5576,Ga0508132_00441,14,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00441_5576_6937,Ga0508132_00441,14,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00441_6937_7809,Ga0508132_00441,14,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Rhodomicrobium; Rhodomicrobium vannielii
Ga0508132_00651_1084_1746,Ga0508132_00651,13,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00651_3_872,Ga0508132_00651,13,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00651_874_1062,Ga0508132_00651,13,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00909_22_699,Ga0508132_00909,12,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00909_7072_7422,Ga0508132_00909,12,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00953_3_377,Ga0508132_00953,12,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00953_6763_7113,Ga0508132_00953,12,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00539_10740_11609,Ga0508132_00539,11,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00539_7772_9154,Ga0508132_00539,11,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00539_9166_10674,Ga0508132_00539,11,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_01032_1349_1744,Ga0508132_01032,10,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00907_2047_2787,Ga0508132_00907,9,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00907_2822_4207,Ga0508132_00907,9,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00907_4220_4660,Ga0508132_00907,9,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00907_4673_6241,Ga0508132_00907,9,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_00907_6290_7117,Ga0508132_00907,9,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_01308_4461_4811,Ga0508132_01308,6,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_01057_2265_3824,Ga0508132_01057,5,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_01057_3902_5365,Ga0508132_01057,5,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_01057_3_752,Ga0508132_01057,5,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_01057_5437_6330,Ga0508132_01057,5,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_01057_763_2226,Ga0508132_01057,5,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_01414_3302_4552,Ga0508132_01414,5,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
Ga0508132_01998_2745_3071,Ga0508132_01998,4,Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas palustris
